Index,ids,X.1,textToSend,Means,stanMeans,X,MetaID,treatment,pid_rep,open.ended.response,Topic1,Topic2,Topic3,max_prob123,max_prob12,anger_ra1,anger_ra2,caseid,enthusiasm_ra1,enthusiasm_ra2,fear_ra1,fear_ra2,immigrants_ra1,immigrants_ra2,legal,est1,est2,RunAll,mergeIDs,stanMeansNewSys,stanSDsNewSys,coderMeans,newDocIDS,stanMeansNewSys2,stanSDsNewSys2,stanMeansNewSysPooled,stanSDsNewSysPooled,
1,6606,1,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",0.75,2.409767828,1,0,1,1,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",0.173998345,0.755705563,0.070296092,2,2,0,0,287,0,0,1,2,0,0,0,0.809078397,0.634776265,0.750291213,240,1.919905776,0.54976955,1.5,10335,1.10697651,0.320538069,1.465565702,0.288473771,0.288473771
2,6607,2,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",0.875,3.710614885,2,0,1,1,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",0.446441019,0.174056131,0.37950285,1,1,0,0,145,0,0,1,1,0,0,1,1.25219101,0.598771276,1.011094949,75,-0.138687905,0.30276365,1,10336,-0.223680554,0.3005747,-0.166690909,0.219645364,0.219645364
3,6608,3,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.416666667,-1.437706486,3,0,0,0.333,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.139858966,0.273981488,0.586159546,3,2,1,1,159,0,0,0,0,0,0,1,-0.482954588,0.091001183,-0.219371497,271,-0.334633295,0.291336352,0,10337,0.825118724,0.317954724,0.22409572,0.220389788,0.220389788
4,6609,4,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the vote that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.458333333,0.65550251,4,0,0,0.5,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the ""vote"" that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.682995118,0.139063577,0.177941305,1,1,0,1,421,0,0,1,2,0,0,1,0.212103162,0.331437131,0.32984516,181,0.386022747,0.294323581,1.5,10338,0.679628678,0.305606054,0.629995336,0.221096222,0.221096222
5,6610,5,terror bombings killing us robbing america,0.875,5.337525233,5,0,1,0.66667,terror bombings killing us robbing america,0.300739935,0.499947938,0.199312127,2,2,1,0,224,0,0,2,2,0,0,0,1.797708113,1.988935762,1.955239601,261,0.102707171,0.274519138,2,10339,1.206389006,0.370577466,0.574415622,0.21622814,0.21622814
6,6611,6,having criminals immigrate here,0.625,1.325089761,6,0,1,0,having criminals immigrate here,0.378351648,0.41301023,0.208638123,2,2,0,0,175,0,0,1,1,0,0,0,0.447899683,1.007894227,0.766621541,55,-0.053182235,0.294506307,1,10340,-0.462651967,0.324059208,-0.299667976,0.21562777,0.21562777
7,6612,7,"illegal, draining our goverment resources and making no contibution to our society. as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder. our jails are overcrowded! if welfare recipients, who are physically able, wont work then no welfare.",0.791666667,3.225803075,7,0,1,0.833,"illegal, draining our goverment resources and making no contibution to our society. as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder. our jails are overcrowded! if welfare recipients, who are physically able, wont work then no welfare.",0.438283716,0.482370614,0.079345669,2,2,1,2,131,0,0,2,1,0,0,0,1.087389072,1.330563604,1.317578902,80,1.393788566,0.377556126,1.5,10341,1.005897387,0.346110114,1.348317017,0.265180574,0.265180574
8,6613,8,we are not the lower class people and that is not right,0.541666667,-0.703237103,8,0,1,0,we are not the lower class people and that is not right,0.186539613,0.343634567,0.469825821,3,2,0,1,70,0,0,0,1,0,0,0,-0.237684503,-0.263062827,-0.301088787,318,-2.193784198,0.50026796,0.5,10342,-0.083700101,0.303071282,-1.084269002,0.23654764,0.23654764
9,6614,9,i dont have a problem with it as long as they learn english and pay taxes,0.208333333,-2.979007068,9,0,0,0,i dont have a problem with it as long as they learn english and pay taxes,0.299155723,0.273026992,0.427817285,3,1,0,0,342,1,0,0,0,0,0,0,-1.003149593,-1.189964895,-1.144601151,68,-0.755480014,0.36141521,0,10343,-1.090250549,0.370343463,-1.029884061,0.278173103,0.278173103
10,6615,10,i think that people that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.,0.5,0.259665151,10,0,1,0.66667,i think that people that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.,0.085094338,0.138317125,0.776588537,3,2,1,1,402,0,0,0,0,0,0,0,0.085840021,-0.223071485,-0.115351726,143,-0.082500052,0.286919436,0,10344,0.124676862,0.306644519,0.09772359,0.221124275,0.221124275
