track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title,Type
135,256000,1,,26.11.2008 01:43,26.11.2008 00:00,837,0,Rock,"[45, 58]","[58, 12, 45]",,2484,en,Attribution-NonCommercial-ShareAlike 3.0 International,1832,,0,,[],Father's Day,1
136,256000,1,,26.11.2008 01:43,26.11.2008 00:00,509,0,Rock,"[45, 58]","[58, 12, 45]",,1948,en,Attribution-NonCommercial-ShareAlike 3.0 International,1498,,0,,[],Peel Back The Mountain Sky,1
151,192000,0,,26.11.2008 01:44,,192,0,Rock,[25],"[25, 12]",,701,en,Attribution-NonCommercial-ShareAlike 3.0 International,148,,4,,[],Untitled 04,1
152,192000,0,,26.11.2008 01:44,,193,0,Rock,[25],"[25, 12]",,637,en,Attribution-NonCommercial-ShareAlike 3.0 International,98,,11,,[],Untitled 11,1
153,256000,0,Arc and Sender,26.11.2008 01:45,26.11.2008 00:00,405,5,Rock,[26],"[26, 12]",,354,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,424,,2,,[],Hundred-Year Flood,1
154,256000,0,Arc and Sender,26.11.2008 01:45,26.11.2008 00:00,319,1,Rock,[26],"[26, 12]",,242,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,205,,4,,[],Squares And Circles,1
155,192000,0,,26.11.2008 01:45,26.11.2008 00:00,756,1,Rock,[26],"[26, 12]",,268,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,197,,0,,[],Maps of the Stars Homes,1
169,192000,0,James Squeaky,26.11.2008 01:46,1.01.2006 00:00,144,1,Rock,[25],"[25, 12]",,815,en,Attribution-NonCommercial-ShareAlike 3.0 International,270,,1,,[],Boss of Goth,1
170,192000,0,,26.11.2008 01:46,7.10.2006 00:00,181,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,122,,2,,[],Industry Standard Massacre,1
171,320000,0,,26.11.2008 01:46,26.11.2008 00:00,80,0,Rock,[25],"[25, 12]",<p>Unreleased</p>,582,en,Attribution-NonCommercial-ShareAlike 3.0 International,242,,2,,[],Marching as Technitions,1
172,192000,0,James Squeaky,26.11.2008 01:46,1.06.2007 00:00,206,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,90,,3,,[],I Can't Stand You Up-right,1
173,192000,0,James Squeaky,26.11.2008 01:46,1.01.2006 00:00,218,0,Rock,[25],"[25, 12]",,475,en,Attribution-NonCommercial-ShareAlike 3.0 International,177,,4,,[],Save Life's Golden Receipt In Case Refund Needed,1
174,192000,0,James Squeaky,26.11.2008 01:46,1.01.2006 00:00,199,0,Rock,[25],"[25, 12]",,405,en,Attribution-NonCommercial-ShareAlike 3.0 International,116,,6,,[],Senator's Stance,1
175,192000,0,,26.11.2008 01:46,7.10.2006 00:00,111,0,Rock,[25],"[25, 12]",,365,en,Attribution-NonCommercial-ShareAlike 3.0 International,72,,6,,[],Snapped Today,1
176,320000,0,,26.11.2008 01:46,26.11.2008 00:00,160,0,Rock,[25],"[25, 12]",<p>Unreleased</p>,461,en,Attribution-NonCommercial-ShareAlike 3.0 International,104,,6,,[],Step Up to Legends,1
177,192000,0,James Squeaky,26.11.2008 01:46,1.01.2006 00:00,129,0,Rock,[25],"[25, 12]",,529,en,Attribution-NonCommercial-ShareAlike 3.0 International,160,,7,,[],Petty Hate Machine,1
178,192000,0,,26.11.2008 01:46,1.02.2006 00:00,259,1,Rock,[25],"[25, 12]",,287,en,Attribution-NonCommercial-ShareAlike 3.0 International,149,,0,,[],Lend Me a Blanket,1
179,320000,0,,26.11.2008 01:46,26.11.2008 00:00,90,0,Rock,[25],"[25, 12]",,591,en,Attribution-NonCommercial-ShareAlike 3.0 International,226,,0,,[],Ready to Die,1
181,256000,0,,26.11.2008 01:46,1.01.2006 00:00,171,8,Rock,[27],"[27, 12]",,1736,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,1339,,1,,[],Gopacapulco,1
